,Organization Name,Industries,Headquarters Location,Description,CB Rank (Company),Monthly Visits,Operating Status,Closed Date,Website,Twitter,LinkedIn,Founders,Acquisition Status,Acquired by
185,AUTO1 Group,"Automotive, Internet, Marketplace","Berlin, Berlin, Germany",AUTO1 Group is an online automotive platform that aims to connect buyers and sellers of cars throughout Europe.,"9,461","34,441",Active,—,www.auto1-group.com,View on Twitter,View on LinkedIn,"Christian Bertermann, Hakan Koc",—,—
186,aPriori Technologies,"Enterprise, Manufacturing, Simulation, Software","Concord, Massachusetts, United States",aPriori Technologies is a provider of a digital manufacturing simulation software.,"9,468","37,150",Active,—,www.apriori.com/,View on Twitter,View on LinkedIn,"Eric Hiller, Michael Philpott",—,—
187,Gluware,"Information Technology, Internet, Network Hardware, Software","Sacramento, California, United States",Gluware is an Intelligent Network Automation platform that automates and orchestrates multi-vendor and mission-critical networks.,"9,524",—,Active,—,gluware.com,View on Twitter,View on LinkedIn,"Jeff Gray, Olivier Van",—,—
188,Sapient Industries,"Energy Management, Enterprise Software","Philadelphia, Pennsylvania, United States",Sapient is an enterprise plug load management system powered by machine learning.,"9,598",—,Active,—,www.sapient.industries/,View on Twitter,View on LinkedIn,"Martin Koch, Sam Parks",—,—
189,Genome Medical,"Genetics, Health Care, Life Science, Medical","South San Francisco, California, United States",Genome Medical is a telegenomics technology and services company allowing access to genomic-based medicine.,"9,651","21,685",Active,—,www.genomemedical.com/,View on Twitter,View on LinkedIn,"Lisa Alderson, Randy Scott, Robert Green",Made Acquisitions,—
190,Embark Trucks,"Automotive, Autonomous Vehicles, Logistics, Software, Transportation","San Francisco, California, United States",Embark develops self-driving truck technology designed for freight and logistic services.,"9,727","12,322",Active,—,embarktrucks.com,View on Twitter,View on LinkedIn,"Alex Rodrigues, Brandon Moak",Was Acquired,Applied Intuition
191,Adaptive Shield,"Information Technology, SaaS, Software","Tel Aviv, Tel Aviv, Israel",Adaptive Shield is a developer of a security posture management platform used to help businesses manage their cloud services.,"9,847","8,231",Active,—,www.adaptive-shield.com/,—,View on LinkedIn,"Jony Shlomoff, Maor Bin",—,—
192,Ellipsis Health,"Fitness, Health Care, Information Technology, Software","San Francisco, California, United States",Ellipsis Health develops affective computing for existing patient/care team interactions to create a real-time vital sign.,"9,983","2,607",Active,—,www.ellipsishealth.com,View on Twitter,View on LinkedIn,"Dr. Michael Aratow, Mainul I, Mainul Mondal, Susan Solinsky",—,—
193,Ory Corp,"Cloud Security, Cyber Security, Identity Management, Information Technology, Open Source, Software","Doylestown, Pennsylvania, United States","Ory Corp makes and operates Ory Cloud for Zero Trust Security based on Ory's open-source identity, authx, and permission","10,069","64,877",Active,—,www.ory.sh,View on Twitter,View on LinkedIn,"Aeneas Rekkas, Thomas Aidan Curran",—,—
194,Rentable,"Internet, Local Advertising, Real Estate, Search Engine","Madison, Wisconsin, United States",Rentable offers a web-based platform that specializes in online apartment search.,"10,480","670,125",Active,—,www.rentable.co,View on Twitter,View on LinkedIn,"Adam Olien, Alec Slocum, Chad Aldous",—,—
195,Snorkel AI,"Artificial Intelligence, Enterprise Software, Machine Learning","Redwood City, California, United States",The data-centric platform of enterprise AI,"10,566","35,704",Active,—,www.snorkel.ai/,View on Twitter,View on LinkedIn,"Alexander Ratner, Braden Hancock, Chris Re, Henry Ehrenberg, Manas Joglekar, Paroma Varma",—,—
196,Lightbend,"Big Data, Cloud Computing, Data Integration, Enterprise Applications, Enterprise Software, Information Technology, Internet, Software, Software Engineering","San Francisco, California, United States",Lightbend offers a reactive application development platform for building distributed applications and modernizing aging infrastructures.,"10,672","30,660",Active,—,www.lightbend.com,View on Twitter,View on LinkedIn,"Jonas Bonér, Martin Odersky, Paul Phillips",Made Acquisitions,—
197,Forecast,"Artificial Intelligence, Finance, Human Resources, Machine Learning, Project Management, Scheduling, Software","London, England, United Kingdom","Forecast is an AI-Native Platform for Financial, Resource & Project Management","10,707","40,728",Active,—,www.forecast.app,View on Twitter,View on LinkedIn,"Danny Larsen, Dennis Kayser, Jens Duelund Højstrup Pallesen, Niels Frederiksen",—,—
198,Ambition,"Enterprise Software, Gamification, SaaS, Sales, Software","Chattanooga, Tennessee, United States",Ambition is an enterprise software company building the world's first modern sales management platform. Endorsed by Harvard Business Review.,"10,726","16,644",Active,—,ambition.com,View on Twitter,View on LinkedIn,"Brian Trautschold, Jared Houghton, Travis Truett, Wes Kendall",—,—
199,ieso,"Biotechnology, Health Care, Internet, Psychology, Therapeutics","Cambridge, Cambridgeshire, United Kingdom",Transforming mental healthcare by unlocking the power of clinical data,"10,832","4,709",Active,—,www.iesogroup.com,—,View on LinkedIn,Barnaby Perks,—,—
200,Cafe X Technologies,"Coffee, Mobile, Robotics, Software","San Francisco, California, United States",Cafe X Technologies is focused on increasing productivity in the service industry through automation.,"10,951","89,037",Active,—,cafexapp.com,View on Twitter,View on LinkedIn,"Henry Hu, Sebastian Gomez Puerto",—,—
201,Mysa,"Consumer Electronics, Internet, Smart Home, Telecommunications","St. John's, Newfoundland, Canada",Mysa is a smart thermostat for baseboard heaters for home.,"10,999","55,711",Active,—,getmysa.com/,View on Twitter,View on LinkedIn,"Joshua Green, Zachary Green",—,—
202,Idelic,"Enterprise Software, Fleet Management, Management Information Systems, Transportation","Pittsburgh, Pennsylvania, United States",Idelic is a driver management platform designed to consolidate fleet data systems and automate compliance processes.,"11,028",576,Active,—,www.idelic.com/,View on Twitter,View on LinkedIn,"Andrew Russell, Hayden Cardiff, Nick Bartel",—,—
203,The Helper Bees,"Elder Care, Health Care, Home Health Care, Insurance, InsurTech","Austin, Texas, United States",The Helper Bees is an InsurTech startup that helps seniors and their families find solutions to aging in place.,"11,127","12,011",Active,—,www.thehelperbees.com,View on Twitter,View on LinkedIn,"Char Hu, Danny Lynch, Eric Corum",Made Acquisitions,—
204,Keeper,"Accounting, Apps, Financial Services, FinTech, Personal Finance","San Francisco, California, United States",Taxes made magical,"11,416","1,189,649",Active,—,www.keepertax.com/,View on Twitter,View on LinkedIn,"David Kang, Paul Koullick",—,—
205,Cockroach Labs,"Cloud Computing, Database, Enterprise Software, Software","New York, New York, United States",Cockroach Labs is a software company that develops a cloud-native SQL database for modern cloud applications.,"11,427","296,767",Active,—,www.cockroachlabs.com/,View on Twitter,View on LinkedIn,"Benjamin Darnell, Peter Mattis, Spencer Kimball",—,—
206,Endless West,"Food and Beverage, Food Processing, Wine And Spirits","San Francisco, California, United States",Endless West is a beverage company.,"11,430","1,030",Active,—,www.endlesswest.com,View on Twitter,View on LinkedIn,"Alec Lee, Josh Decolongon, Mardonn Chua",—,—
207,Strata Oncology,"Biotechnology, Genetics, Health Care, Health Diagnostics, Medical Device","Ann Arbor, Michigan, United States",Strata Oncology is a precision oncology company dedicated to transforming cancer care.,"11,481",—,Active,—,www.strataoncology.com/,View on Twitter,View on LinkedIn,"Dan Rhodes, Keith Flaherty, Scott Tomlins",—,—
208,Mosaic,"Architecture, Construction, Software","Phoenix, Arizona, United States",Mosaic is a a tech-enabled general contractor for the residential development industry.,"11,568",349,Active,—,mosaic.us/,View on Twitter,View on LinkedIn,"Salman Ahmad, Sep Kamvar",—,—
209,VETRO FiberMap,"Data Visualization, Enterprise Software, Geospatial, Information Technology, Mapping Services, Software","Portland, Maine, United States",VETRO FiberMap is a fiber management GIS mapping platform that develops software to help internet providers manage their network.,"11,598","15,973",Active,—,www.vetrofibermap.com,View on Twitter,View on LinkedIn,"Sean Myers, Will Mitchell",—,—
210,Egress Software,"Cloud Data Services, Cyber Security, Email, File Sharing, Security, Software","London, England, United Kingdom",Egress is a software company that specializes in human layer security designed to prevent accidental and intentional data breaches.,"11,608","1,491,349",Active,—,www.egress.com,View on Twitter,View on LinkedIn,"John Goodyear, Neil Larkins, Tony Pepper",Made Acquisitions,—
211,inVia Robotics,"E-Commerce, Industrial Automation, Logistics, Machine Learning, Robotics","Westlake Village, California, United States",InVia Robotics provides next-generation robotics warehouse automation solutions for e-commerce distribution centers and supply chains.,"11,611",—,Active,—,www.inviarobotics.com,View on Twitter,View on LinkedIn,"Daniel Parks, Lior Elazary, Randolph Voorhies",—,—
212,Benepass,"Employee Benefits, Enterprise Software, FinTech","New York, New York, United States",Benepass empowers companies to support every employee’s unique definition of wellbeing.,"11,667","23,248",Active,—,www.getbenepass.com/,View on Twitter,View on LinkedIn,"Jaclyn Chen, Kabir Soorya, Mark Fischer",—,—
213,Coconut Software,"Scheduling, Software, Task Management","Saskatoon, Saskatchewan, Canada","Coconut Software develops a cloud-based, enterprise level appointment scheduling and visitor management platform.","11,873","9,905",Active,—,www.coconutsoftware.com,View on Twitter,View on LinkedIn,Katherine Regnier,—,—
214,Nightingale Health,"Biotechnology, Health Care, Medical","Helsinki, Southern Finland, Finland",Nightingale Health is a biotechnology company transforming the prevention of chronic diseases.,"11,947","1,752",Active,—,www.nightingalehealth.com,View on Twitter,View on LinkedIn,"Antti Kangas, Antti Kangas, Pasi Soininen, Peter Würtz, Teemu Suna",Made Acquisitions,—
215,Pear Therapeutics,"Biotechnology, mHealth, Pharmaceutical, Software, Therapeutics","Boston, Massachusetts, United States",Pear Therapeutics is a software-based digital therapeutics platform designed to treat disease and enhance the efficacy of pharmaceuticals.,"11,961","4,663",Active,—,peartherapeutics.com,View on Twitter,View on LinkedIn,"Stephen Smith, Walter Greenleaf, William Greene",—,—
216,Jinx,"Consumer Goods, E-Commerce, Nutrition, Wellness","Los Angeles, California, United States",Jinx is a dog wellness brand that primarily sells dog foods online.,"12,042","24,497",Active,—,www.thinkjinx.com,—,View on LinkedIn,"Sameer Mehta, Terri Rockovich",—,—
217,Sora,"Human Resources, Small and Medium Businesses, Software","San Francisco, California, United States","Sora empowers People teams to focus on creating employee experiences that keep their coworkers happy, engaged, and productive.","12,140","49,967",Active,—,www.sora.co,View on Twitter,View on LinkedIn,"Laura Del Beccaro, Orien Wu",—,—
218,SOC Prime,"Cloud Security, Cyber Security, Data Integration, Fraud Detection, Intrusion Detection, Marketplace, Predictive Analytics, SaaS","Boston, Massachusetts, United States",SOC Prime is the Threat Detection Marketplace where researchers monetize their content to help security teams defend against attacks.,"12,289","27,868",Active,—,socprime.com,View on Twitter,View on LinkedIn,"Andrey Bezverkhiy, Oleksandr Bredikhin, Ruslan Mihalev",—,—
219,Sea Machines Robotics,"Artificial Intelligence, Autonomous Vehicles, Marine Transportation, Navigation, Robotics","Boston, Massachusetts, United States",Sea Machines Robotics builds autonomous control and navigation systems for the commercial marine and boating industries.,"12,484",—,Active,—,www.sea-machines.com,View on Twitter,View on LinkedIn,Michael Johnson,—,—
220,Humanising Autonomy,"Artificial Intelligence, Automotive, Autonomous Vehicles, Computer Vision, Construction, Human Computer Interaction, Machine Learning, Smart Cities","London, England, United Kingdom",Humanising Autonomy is building the global standard for human machine interactions.,"12,521","1,215",Active,—,www.humanisingautonomy.com/,View on Twitter,View on LinkedIn,"Leslie Nooteboom, Maya Pindeus, Raunaq Bose",—,—
221,Seasoned.co,"Employment, Hospitality, Human Resources, Marketplace, Recruiting","San Francisco, California, United States","Community, Marketplace, Restaurants","12,664","492,120",Active,—,www.seasoned.co,View on Twitter,View on LinkedIn,"Chau Nguyen, Daniel Weinmann, Madhav Mehra",—,—
222,Reconstruct,"Analytics, Computer Vision, Construction, Infrastructure, SaaS","Menlo Park, California, United States",Reconstruct builds a platform that provides actionable analytics to construction managers enabling them to make better decisions.,"12,683",434,Active,—,www.reconstructinc.com/,View on Twitter,View on LinkedIn,"Derek Hoiem, Mani Golparvar",—,—
223,Revolution Foods,"Food and Beverage, Food Delivery, Organic Food","Oakland, California, United States",Revolution Foods delivers ready-to-eat meal kits for school children and families.,"12,865",907,Active,—,www.revolutionfoods.com,View on Twitter,View on LinkedIn,"Kirsten Saenz Tobey, Kristin Groos Richmond",Made Acquisitions,—
224,READY Robotics,"Hardware, Industrial Automation, Industrial Manufacturing, Internet of Things, Robotics","Columbus, Ohio, United States",READY Robotics seeks to empower manufacturers to be more competitive through industrial robots.,"12,918","8,677",Active,—,www.ready-robotics.com/,View on Twitter,View on LinkedIn,—,—,—
225,NoTraffic,"Artificial Intelligence, Automotive, Big Data, Cloud Computing, Computer Vision, Government, Hardware, Machine Learning, SaaS, Social","Tel Aviv, Tel Aviv, Israel",World Leading IoT Platform for Urban Mobility,"13,035","5,091",Active,—,notraffic.tech,View on Twitter,View on LinkedIn,"Or Sela, Tal Kreisler, Uriel Katz",—,—
226,SQZ Biotech,"Biotechnology, Life Science, Therapeutics","Watertown, Massachusetts, United States",SQZ Biotech features a cell engineering technology designed to deliver a diverse set of materials into patient cells.,"13,073","6,054",Active,—,sqzbiotech.com,View on Twitter,View on LinkedIn,"Armon Sharei, Klavs Jensen, Robert Langer",—,—
227,Closed Loop Medicine,"Health Care, Pharmaceutical, Therapeutics","London, England, United Kingdom",Developing personalised digital healthcare solutions to improve outcomes for patients and clinicians,"13,102","1,130",Active,—,www.closedloopmedicine.com/,View on Twitter,View on LinkedIn,"David Cox, Felicity Sartain, Hakim Yadi, Paul Goldsmith",—,—
228,The Flex Co.,"Consumer Goods, E-Commerce, Sex Tech","Venice, California, United States",The Flex Co. is the top-selling sustainable period care brand known for creating a more comfortable period for everyone.,"13,118","453,601",Active,—,www.flexfits.com,View on Twitter,View on LinkedIn,"Erika Jensen, Lauren Schulte Wang, Panpan Wang",Made Acquisitions,—
229,Vitable Health,"Health Care, Health Insurance, Insurance","Philadelphia, Pennsylvania, United States","Vitable is a primary care plan that works for everyone. Our providers come directly to you, either virtually or through in-home visits.","13,160",316,Active,—,www.vitablehealth.com/,View on Twitter,View on LinkedIn,Joseph Kitonga,—,—
230,Blue White Robotics,"AgTech, Artificial Intelligence, Automotive, Autonomous Vehicles, Drones, Robotics","Tel Aviv, Tel Aviv, Israel",Blue White Robotics connects people with autonomous solutions today.,"13,357",96,Active,—,www.bluewhiterobotics.com,View on Twitter,View on LinkedIn,"Aviram Shmueli, Ben Alfi, Yair Shahar",—,—
231,Centaur Labs,"Artificial Intelligence, Health Care, Medical","Boston, Massachusetts, United States",Centaur Labs is a medical AI platform that offers medical data labeling services.,"13,375","2,517",Active,—,centaurlabs.com,View on Twitter,View on LinkedIn,"Erik Duhaime, Tom Gellatly, Zach Rausnitz",—,—
232,Kheiron,"Artificial Intelligence, Health Care","London, England, United Kingdom",We’re going where no-one has ever gone before. -- We’re fighting cancer. -- Lives are at stake.,"13,531","3,131",Active,—,www.kheironmed.com/,View on Twitter,View on LinkedIn,"Peter Kecskemethy, Tobias Rijken",—,—
233,Brave Care,"Children, Health Care","Portland, Oregon, United States",Brave Care provides modern primary and urgent care just for kids and access to advice for parents nationwide.,"13,636","8,655",Active,—,www.bravecare.com/,View on Twitter,View on LinkedIn,"Asa Miller, Darius Monsef",—,—
234,Astrocast,"Electronics, Satellite Communication, Telecommunications","Renens, Vaud, Switzerland",Astrocast offers a bidirectional and highly secure connection to any #IoT device on Earth.,"13,649","6,198",Active,—,www.astrocast.com/,View on Twitter,View on LinkedIn,"Bertil Chapuis, Fabien Jordan, Federico Belloni, Jean-Michel JORDAN, JULIAN HARRIS, NICHOLAS PETRIG",Made Acquisitions,—
235,Automation Hero,"Artificial Intelligence, Enterprise Software, Information Technology, Machine Learning, SaaS","San Francisco, California, United States",We help organizations process any type of document faster than ever with the most complete intelligent document processing platform.,"13,688","11,009",Active,—,automationhero.ai/,View on Twitter,View on LinkedIn,Stefan Groschupf,—,—
236,Aleph Farms,"Food and Beverage, Green Consumer Goods, GreenTech","Rehovot, HaMerkaz, Israel",Food technology company designing new ways to grow quality animal products.,"13,731","6,915",Active,—,www.aleph-farms.com/,View on Twitter,View on LinkedIn,"Didier Toubia, Shulamit Levenberg",—,—
237,Amplio,"EdTech, mHealth, Speech Recognition","Rockville, Maryland, United States",Amplio redefines special education,"14,059",706,Active,—,www.ampliolearning.com/,View on Twitter,View on LinkedIn,"Ofer Amir, Yair Shapira, Yoav Medan",—,—
238,SMBX,"Banking, Financial Services, FinTech, Marketplace, Retail, Small and Medium Businesses","San Francisco, California, United States",SMBX is a funding portal and public marketplace for issuing and buying U.S. small business bonds.,"14,202","144,064",Active,—,www.thesmbx.com,View on Twitter,View on LinkedIn,"Benjamin James Lozano, Bhavish Balhotra, Gabrielle Katsnelson, Jackie Chan",—,—
239,Micropsi Industries,"Artificial Intelligence, Industrial Manufacturing, Machine Learning, Robotics","Berlin, Berlin, Germany",Micropsi Industries provides high-end machine learning solutions for robotics and process control.,"14,343",711,Active,—,www.micropsi-industries.com/,View on Twitter,View on LinkedIn,"Dominik Welland, Joscha Bach, Priska Herger, Ronnie Vuine, Ulrik Deichsel",—,—
240,Valora,"Blockchain, Financial Services, FinTech, Mobile Payments","San Francisco, California, United States",Valora is a mobile peer-to-peer payments and remittance app built on the Celo platform.,"14,359","27,133",Active,—,valoraapp.com/,View on Twitter,View on LinkedIn,Marek Olszewski,—,—
241,Daylight,"Computer, Information Technology, Software","Toronto, Ontario, Canada",Daylight is a low-code platform that allows enterprises to rapidly build and deploy personalized digital solutions.,"14,374",—,Active,—,daylight.io/,View on Twitter,View on LinkedIn,"Art Harrison, Ryan Kimber",Made Acquisitions,—
242,Athena Club,"Consumer, Personal Health, Women's","New York, New York, United States",Athena Club provides a wide range of feminine care products.,"14,400","239,177",Active,—,athenaclub.com,View on Twitter,View on LinkedIn,"Allie Griswold, Charles Desmarais, Maria Markina",—,—
243,Expansion Therapeutics,"Biotechnology, Health Care, Therapeutics","San Diego, California, United States",Expansion Therapeutics is a biotechnology company focusing on developing transformative oral medicines for severe RNA-mediated diseases.,"14,426","1,428",Active,—,www.expansionrx.com/,View on Twitter,View on LinkedIn,"Kevin Forrest, Matthew D. Disney",—,—
244,Decent,"Health Care, Health Insurance","San Francisco, California, United States","Decent offers affordable healthcare by aligning incentives to improve health, reduce costs, and put members at the center of their care.","14,558","2,975",Active,—,www.decent.com/,View on Twitter,View on LinkedIn,"Michael Lapinski, Nick Soman, Richard Luck",—,—
245,Garten,"Food Delivery, Food Processing, Snack Food","Burlingame, California, United States",Garten is a food processing company that delivers nutrient-rich catered meals and curated snacks for workplace.,"14,704","2,523",Active,—,garten.co,View on Twitter,View on LinkedIn,Michael Heinrich,Made Acquisitions,—
246,TwinStrand Biosciences,"Biotechnology, Genetics, Health Care","Seattle, Washington, United States",TwinStrand Biosciences develops and commercializes the duplex sequencing technology for DNA sequencing.,"14,714","4,762",Active,—,www.twinstrandbio.com,View on Twitter,View on LinkedIn,Jesse Salk,—,—
247,Think Research,"Alternative Medicine, Health Care, Medical","Toronto, Ontario, Canada",Think Research offers knowledge-based tools and leading clinical content for clinicians at the point of care.,"14,816","2,873",Active,—,www.thinkresearch.com/,View on Twitter,View on LinkedIn,Chris O’Connor,Made Acquisitions,—
248,Sprinter Health,"Health Care, Medical","San Francisco, California, United States",Sprinter Health is an on-demand mobile health company that sends full-time nurses and phlebotomists (“Sprinters”) into the home.,"14,900","4,118",Active,—,www.sprinterhealth.com/,View on Twitter,View on LinkedIn,"Cameron Behar, Max Cohen",—,—
249,Glympse Bio,"Biotechnology, Health Care, Life Science, Medical Device, Nanotechnology","Cambridge, Massachusetts, United States",Glympse Bio is a biotechnology company that transforms disease detection and predict treatment response.,"14,951",574,Active,—,www.glympsebio.com,View on Twitter,View on LinkedIn,"Gabe Kwong, Sangeeta Bhatia",—,—
250,Repeat,"CRM, E-Commerce, Fast-Moving Consumer Goods, Retail Technology, SaaS","Los Angeles, California, United States",Repeat is a SaaS platform that enables consumer-packaged-goods brands to turn one-time buyers into repeat customers.,"14,964","8,556",Active,—,www.getrepeat.io,View on Twitter,View on LinkedIn,"Kim Stiefel, Sarah Wissel",—,—
251,Player’s Health,"Health Care, Insurance, InsurTech, Risk Management, Sports","Minneapolis, Minnesota, United States",Player’s Health is an insurance agency that protects athletes and sports organizations with a unique risk management platform.,"15,078","11,100",Active,—,playershealth.com/,View on Twitter,View on LinkedIn,"Christopher Pesigan, Neil Mitchell, Tyrre Burks",Made Acquisitions,—
252,Flow Neuroscience,"Health Care, Medical Device, Wearables","Malmö, Skane Lan, Sweden",Flow Neuroscience is a healthcare company that develops direct current stimulation device and behavioral therapy app for depression.,"15,176","24,795",Active,—,flowneuroscience.com/,View on Twitter,View on LinkedIn,"Daniel Månsson, Erik Rehn",Made Acquisitions,—
253,HUINNO,"Artificial Intelligence, Health Care, Hospital, Machine Learning, Mobile, Software, Wearables","Boston, Massachusetts, United States","Combining the wearables tech and AI-based analytics to prevent chronic cardiac diseases including arrhythmia, stroke, and hypertension","15,246",506,Active,—,huinno.com,—,—,"Steven Baek, Yeongjoon Gil",—,—
254,Safe Security,"Artificial Intelligence, Cyber Security, Information Technology, Network Security, Risk Management","Palo Alto, California, United States",Safe Security is a cyber risk management startup that helps organizations mitigate cyber risk in real-time.,"15,331",—,Active,—,www.safe.security,View on Twitter,View on LinkedIn,"Rahul Tyagi, Saket Modi, Vidit Baxi, Vinu Thomas",—,—
255,Upflow,"B2B, Billing, E-Commerce Platforms, Financial Services, FinTech, Payments, SaaS, Software","New York, New York, United States",Upflow is a technology company building a payment platform for B2B businesses.,"15,429","18,354",Active,—,upflow.io,View on Twitter,View on LinkedIn,"Alexandre Louisy, Barnaby Malet, Thibaud Elziere",—,—
256,EDDA Technology,"3D Technology, Health Care, Health Diagnostics, Information Technology","Princeton, New Jersey, United States",EDDA Technology offers computer assistance to the patient care management cycle and enables early detection and diagnosis of diseases.,"15,454",—,Active,—,www.eddatech.com,—,View on LinkedIn,—,—,—
257,Concentric,"Artificial Intelligence, Simulation, Software","Cambridge, Massachusetts, United States","Concentric enable transformation with an augmented intelligence platform that delivers trustworthy, actionable what-if answers in real-time.","15,523",—,Closed,—,concentricmarket.com,View on Twitter,View on LinkedIn,"Greg Silverman, Paolo Gaudiano",—,—
258,Tara AI,"Developer Tools, Enterprise Software, Information Technology, SaaS, Software, Software Engineering","San Jose, California, United States","Git ship done. Tara helps teams define, plan & track mission-critical product updates, in one place.","15,671","15,204",Active,—,tara.ai/,View on Twitter,View on LinkedIn,"Iba Masood, Syed Ahmed",—,—
259,Remoov,"E-Commerce, Furniture, Home Services, Logistics, Real Estate, Service Industry, Sustainability","South San Francisco, California, United States",Unlocking the value of the secondary goods market. Reduce waste by increasing reuse.,"15,749","6,765",Active,—,remoovit.com/,View on Twitter,View on LinkedIn,"Austin Rachlin, Luis Perez",—,—
260,Aliaswire,"Financial Services, Software","Burlington, Massachusetts, United States","A leading payment processing industry in the development and operation of convenient, reliable, and secure systems .","15,765","3,275",Active,—,www.aliaswire.com/,View on Twitter,View on LinkedIn,Hoss Mohsenzadeh,—,—
261,Spoiler Alert,"B2B, E-Commerce Platforms, Enterprise Software, Food and Beverage, Recycling, SaaS, Software, Supply Chain Management, Sustainability, Waste Management","Boston, Massachusetts, United States",Spoiler Alert is a Boston-based software company helping perishable CPG brands manage excess and slow-moving inventory,"15,825","11,697",Active,—,www.spoileralert.com/,View on Twitter,View on LinkedIn,"Emily Malina, Marty Sirkin, Ricky Ashenfelter",—,—
262,Celential.ai,"Artificial Intelligence, Human Resources, Machine Learning, Recruiting","Mountain View, California, United States",Celential.ai is an early-stage startup bringing to market AI-driven services to empower people to own their career development.,"15,870","4,454",Active,—,www.celential.ai/,—,View on LinkedIn,"Andrew Dong, Ilias Beshimov, Zhaohui Chen",—,—
263,CoLab Software,"Computer, Information Technology, Software","St. John's, Newfoundland, Canada",CoLab Software develops modern collaboration technologies for the mechanical design industry.,"15,961","9,096",Active,—,www.colabsoftware.com/,View on Twitter,View on LinkedIn,"Adam Keating, Jeremy Andrews",—,—
264,Class101,Information Technology,"Ulsan, Kyongsang-bukto, South Korea",Class101 is an online platform where people can make and enjoy hobbies.,"16,024","1,054,810",Active,—,class101.net,—,View on LinkedIn,"Jinwoo Hong, Kim Do-kyung",Made Acquisitions,—
265,Supplant,"Biotechnology, Food and Beverage, Health Care","Cambridge, Cambridgeshire, United Kingdom",Supplant is a biotechnology platform that makes sugar substitutes.,"16,093","5,972",Active,—,www.supplant.com/,View on Twitter,View on LinkedIn,"Paul Dupree, Tom Simmons",—,—
266,1build,"Artificial Intelligence, Construction, Machine Learning, Software","Mountain View, California, United States",1build utilizes machine intelligence to convert building blueprints into material shopping lists and cost estimates.,"16,157","18,204",Active,—,www.1build.com/,View on Twitter,View on LinkedIn,Dmitry Alexin,—,—
267,Navenio,"Information Technology, Location Based Services, Mobile Apps, Software","Oxford, Oxfordshire, United Kingdom",Navenio is a software company that provides location positioning services for indoor environments through its mobile app.,"16,320",335,Active,—,www.navenio.com/,View on Twitter,View on LinkedIn,"Agathoniki Trigoni, Timothy Weil",—,—
268,Olea,"Analytics, Information Technology, Wireless","Austin, Texas, United States",Olea is an end-to-end edge analytic solution that delivers SMART data and actionable insights.,"16,415","1,432",Active,—,oleaedge.com,—,View on LinkedIn,Dave mackie,—,—
269,Copper Cow Coffee,"Agriculture, Coffee, Food and Beverage","Los Angeles, California, United States",Copper Cow Coffee is a Vietnamese coffee company that offers specialty Vietnamese coffee to offices and homes.,"16,455","42,997",Active,—,coppercowcoffee.com,View on Twitter,View on LinkedIn,Debbie Mullin,—,—
270,Aromyx,"Analytics, Artificial Intelligence, Big Data, Biotechnology, Machine Learning","Mountain View, California, United States",Aromyx is a biotechnology startup applying biotechnology and data science to capture unique sensory data.,"16,657","1,882",Active,—,www.aromyx.com,—,View on LinkedIn,"Chris Hanson, Ed Costello, Luke Schneider, Victor Todd Cushman, William Harries",—,—
271,Backstop Solutions Group,"Enterprise Software, FinTech, Hedge Funds, Service Industry, Software","Chicago, Illinois, United States",Backstop's mission is to help professionals in the institutional investment industry use time to its fullest potential.,"16,714","45,384",Active,—,backstopsolutions.com,View on Twitter,View on LinkedIn,Andy Pruitt,Made Acquisitions,—
272,Hatch,"Marketing Automation, SaaS, Sales, Sales Automation, Software","Richmond, Virginia, United States",Hatch is an SMS Texting Platform that helps small and medium-size businesses harness the power of two-way SMS messaging.,"16,795","20,956",Active,—,www.usehatchapp.com,View on Twitter,View on LinkedIn,"Christopher Bache, William Violante",—,—
273,Anello Photonics,"Electronics, Navigation, Semiconductor","Santa Clara, California, United States",Anello Photonics offers patented Anello SiPhOG gyroscope offers an affordable mass-market sensor with true Optical Gyroscope performance.,"16,869","1,863",Active,—,www.anellophotonics.com/,—,View on LinkedIn,"Mario Paniccia, Mike A Horton",—,—
274,Ogee,"Beauty, Consumer Goods, Cosmetics","Burlington, Vermont, United States",Ogee is an organic skin care platform that provides organic beauty products.,"16,875","60,069",Active,—,ogee.com,View on Twitter,View on LinkedIn,"Abbott Stark, Alex Stark, Mark Peter Rice",—,—
275,Clerio Vision,"Biotechnology, Health Care, Medical, Medical Device","Rochester, New York, United States",Clerio Vision is developing a revolutionary product platform for the global ophthalmic market.,"16,908",—,Active,—,www.cleriovision.com/,—,View on LinkedIn,"Alex Zapesochny, Alexandra Latypova, J. Mikael Totterman",Made Acquisitions,—
276,MORE Health,"Cloud Computing, Health Care, Medical","San Mateo, California, United States",MORE Health delivers access to the best physicians in the world via its cloud-based medical collaboration platform.,"16,940",—,Active,—,www.morehealth.com/,View on Twitter,View on LinkedIn,"Bo Hu, Hope Lewis",—,—
277,Stilla Technologies,"Biotechnology, Consumer Research, Genetics, Test and Measurement","Villejuif, Ile-de-France, France",Stilla Technologies is a Paris-based european biotechnology company.,"16,996",—,Active,—,www.stillatechnologies.com/,View on Twitter,View on LinkedIn,"Charles Baroud, Clement Gay, Etienne Fradet, Remi Dangla",—,—
