,Organization Name,Industries,Headquarters Location,Description,CB Rank (Company),Monthly Visits,Operating Status,Closed Date,Website,Twitter,LinkedIn,Founders,Acquisition Status,Acquired by
437,Gamelearn,"Corporate Training, Education, Gamification, Serious Games","Pozuelo, Madrid, Spain",Gamelearn is a game-based learning platform for corporate training,"28,365","15,535",Active,—,game-learn.com/,View on Twitter,View on LinkedIn,"Eduardo Monfort, Ibrahim Jabary, Maider Apraiz",—,—
438,Retention Science,"CRM, Machine Learning, Marketing Automation, Predictive Analytics, SaaS","Santa Monica, California, United States",Retention Science is an AI-driven platform designed to engage and retain customers.,"28,754","17,205",Active,—,retentionscience.com,View on Twitter,View on LinkedIn,"Andrew Waage, Jerry Jao",—,—
439,Avora,"Analytics, Artificial Intelligence, Business Intelligence, Cloud Data Services, Data Visualization, Machine Learning, SaaS","London, England, United Kingdom",Avora provides a complete augmented analytics solution powered by AI that makes in-depth data analysis as easy as a web search.,"28,808",—,Active,—,avora.com,View on Twitter,View on LinkedIn,"Manjit Johal, Ricky Thomas",—,—
440,SensorFlow,"Energy Management, Hotel, Software","Singapore, Central Region, Singapore",Making Smart Buildings A Reality,"29,056",576,Active,—,www.sensorflow.co/,View on Twitter,View on LinkedIn,Saikrishnan Ranganathan,—,—
441,BioT Medical,"Cloud Computing, Health Care, Information and Communications Technology (ICT), Internet of Things, Medical Device, Software","Petah Tiqva, HaMerkaz, Israel",A validated platform for building Cloud-Native medical devices in a day instead of years,"29,142","8,241",Active,—,www.biot-med.com/,View on Twitter,View on LinkedIn,"Boaz Vaizler, Daniel Adler, Guy Vinograd",—,—
442,Deep Branch Biotechnology,"Animal Feed, Biotechnology, Recycling","Nottingham, Nottingham, United Kingdom",Deep Branch uses clean and renewable carbon and energy sources to create ingredients for a more sustainable food system.,"29,186","1,000",Active,—,deepbranch.com,View on Twitter,View on LinkedIn,"Peter Rowe, Robert Mansfield",—,—
443,Nutrino,"Artificial Intelligence, Developer APIs, Diabetes, Health Care, Internet, mHealth, Nutrition, Software, Wellness","Tel Aviv, Tel Aviv, Israel","Nutrino is a big data, personalized nutrition platform that offers nutritional values and data through wearables and other technologies.","29,472","2,497",Active,—,nutrinohealth.com/,View on Twitter,View on LinkedIn,"Eduard Ros, Jonathan Lipnik, José Luis Martín de Bustamante, Yaron Hadad",Was Acquired,Medtronic
444,Elvie,"Apps, Hardware, Software, Wearables","London, England, United Kingdom",Elvie is a British femtech company developing smart technology for women.,"29,783","276,099",Active,—,www.elvie.com,View on Twitter,View on LinkedIn,"Alexander Asseily, Tania Boler",—,—
445,Paravel,"Fashion, Leisure, Manufacturing, Travel","New York, New York, United States",Paravel is a designer and manufacturer of luggage bags and travel accessories.,"29,885","42,238",Active,—,www.TourParavel.com,View on Twitter,View on LinkedIn,"Andy Krantz, Indré Vengris Rockefeller",—,—
446,Vyopta Incorporated,"Analytics, Real Time, SaaS, Software","Austin, Texas, United States",Vyopta provides analytics products that large enterprises use to improve video and web collaboration.,"29,913","2,191",Active,—,www.vyopta.com,View on Twitter,View on LinkedIn,"Alfredo Ramirez, Andrew Chen, Rick Leung",—,—
447,Urban Aeronautics,"Aerospace, Drones, Enterprise, Transportation","Yavne, HaMerkaz, Israel","Urban Aeronautics is the Israel-based aerospace company behind CityHawk, the advanced, compact eVTOL.","30,001",35,Active,—,www.urbanaero.com/,—,—,Rafi Yoeli,—,—
448,Arccos Golf,"Application Performance Management, Gaming, Software","Stamford, Connecticut, United States",Revolutionary golf GPS and automatic stat tracking system.,"30,119","200,556",Active,—,www.ArccosGolf.com,View on Twitter,—,"Ammad Faisal, Clinton Grusd, Sal Syed",—,—
449,Oaky,"Information Technology, Software","Amsterdam, Noord-Holland, The Netherlands",Oaky is a hyper-personalised hotel upselling software that automates upselling process across all stages of the guest journey.,"30,268","2,420",Active,—,www.oaky.com,View on Twitter,View on LinkedIn,"Erik Tengen, Lars Jonker, Tako Paddenburg",—,—
450,Labforward,"Biotechnology, Enterprise Software, Information Services, Information Technology, Life Science, Software","Berlin, Berlin, Germany",Labforward supports laboratory teams on their quest for groundbreaking discoveries and delivering innovative high-quality products.,"30,334","2,224",Active,—,www.labforward.io/,View on Twitter,View on LinkedIn,"Dominic Lütjohann, Florian Hauer, Julian Lübke, Simon Bungers",Made Acquisitions,—
451,Fluent.ai,"Artificial Intelligence, Industrial Automation, Internet of Things, Machine Learning, Smart Home, Software, Software Engineering, Speech Recognition","Montréal, Quebec, Canada","Speech understanding and intent recognition that learns from speech, behavior and context, for embedded voice user interfaces","30,467","7,122",Active,—,fluent.ai/,View on Twitter,View on LinkedIn,Vikrant Tomar,—,—
452,Studio,"Apps, Fitness, Health Care, Wellness","New York, New York, United States",Studio makes audio based group running classes available live and on-demand to anyone with access to a treadmill.,"30,612","2,393",Active,—,www.trystudio.com,View on Twitter,View on LinkedIn,"Jason Baptiste, Nathaniel McNamara",—,—
453,Synapticon,"Embedded Systems, Hardware, Industrial Automation, Robotics, Software","Schönaich, Baden-Wurttemberg, Germany",Synapticon is hacking the physics and economics of motion control with digital technology,"30,722",178,Active,—,www.synapticon.com,View on Twitter,View on LinkedIn,"Andrija Feher, Martin Schwarz, Nikolai Ensslen",—,—
454,Project Admission,"E-Commerce, Events, Sports, Ticketing","Nashville, Tennessee, United States","Creating a more connected experience for the buying, selling, and distribution of tickets.","30,868","3,422",Active,—,projectadmission.com/,—,View on LinkedIn,"Jordan Stone, Stephen Glicken, Tom Giles",Made Acquisitions,—
455,Ecrebo,"Enterprise Software, Information Services, Marketing, Point of Sale, Retail Technology","Reading, Reading, United Kingdom",Ecrebo is a point of sale marketing platform.,"30,937","8,728",Active,—,www.ecrebo.com/,View on Twitter,View on LinkedIn,"David Vernon, Hassan Hajji",—,—
456,Ubeya,"Apps, Catering, Event Management, Mobile, SaaS, Scheduling, Small and Medium Businesses, Software, Staffing Agency","Tel Aviv, Tel Aviv, Israel",The Powerful Employee Management Platform for the Flexible Workplace,"31,072","21,739",Active,—,www.ubeya.com,View on Twitter,View on LinkedIn,"Omri Dekalo, Yuval Weinbaum",—,—
457,Kukui,"Advertising, Advertising Platforms, Marketing, Software, Web Design","San Jose, California, United States",Kukui provides businesses with a custom marketing platform that integrates with each organization's Point of Sale (POS) system.,"31,164","123,929",Active,—,www.kukui.com,View on Twitter,View on LinkedIn,"Ian Utile, Ryan Wilmot",—,—
458,UPWARD,"Business Development, Cloud Data Services, CRM, Information Services, Marketing, Navigation, Task Management","Nihombashi-hamacho, Tokyo, Japan",UPWARD provides an app that anyone can intuitively use on smartphones and tablets.,"31,313","42,950",Active,—,upward.jp/,View on Twitter,View on LinkedIn,Ryusuke Kaneki,—,—
459,Daisy Intelligence,"Artificial Intelligence, Enterprise Software, Information Technology, Machine Learning, SaaS, Software","Toronto, Ontario, Canada",Daisy Intelligence Corporation is a Canadian-based Artificial Intelligence explainable Decisions-as-a-Service company.,"31,386",716,Active,—,www.daisyintelligence.com/,View on Twitter,View on LinkedIn,Gary Saarenvirta,—,—
460,Serenity Kids,"Food and Beverage, Food Processing","Austin, Texas, United States",Serenity Kids is a baby food company offering nutrient-dense foods that taste great to kids and are convenient for parents.,"31,520","51,215",Active,—,myserenitykids.com,View on Twitter,View on LinkedIn,"Joe Carr, Serenity Heegel Carr",—,—
461,MākuSafe,"Artificial Intelligence, B2B, Big Data, InsurTech, SaaS","West Des Moines, Iowa, United States","MākuSafe makes wearable technology to help identify, predict, and prevent risk in workplace environments using IoT sensors and SaaS.","31,556",66,Active,—,www.makusafe.com,View on Twitter,View on LinkedIn,"Gabriel Glynn, Mark Frederick",—,—
462,Vaadin,"Developer Platform, Enterprise Applications, Enterprise Software, Software, Web Apps","Turku, Western Finland, Finland",Vaadin provides modern web components and developer productivity tools for building enterprise business web applications with Java backends.,"31,770","155,469",Active,—,vaadin.com,View on Twitter,View on LinkedIn,"Jani Laakso, Joonas Lehtinen, Jurka Rahikkala",—,—
463,BioBeats,"Artificial Intelligence, Fitness, Health Care, Machine Learning, Wellness","London, England, United Kingdom",BioBeats is a human company that creates digital artificial intelligence products to tackle mental health globally.,"31,771",749,Active,—,biobeats.com,View on Twitter,View on LinkedIn,"David Plans, Davide Morelli, Nadeem Kassam",Was Acquired,Huma
464,Fabacus,"Consumer Goods, Retail, Retail Technology, Small and Medium Businesses, Software, Supply Chain Management","London, England, United Kingdom",Fabacus is a technology business that transforms brand licensing through the power of data.,"31,931",670,Active,—,fabacus.com,—,View on LinkedIn,"Andrew Xeni, Ray Noppe",—,—
465,Core Scientific,"Artificial Intelligence, Blockchain, Software","Austin, Texas, United States",Core Scientific is a blockchain infrastructure and software solution company.,"31,951","3,779",Active,—,corescientific.com,View on Twitter,View on LinkedIn,"Darin Feinstein, Mike Levitt",Made Acquisitions,—
466,Qualson Inc,"E-Learning, Machine Learning, Mobile, Software","Seoul, Seoul-t'ukpyolsi, South Korea","With the slogan, “Rescue people’s time”, Qualson Inc. develops mobile language learning services.","32,150",—,Active,—,qualson.com,—,—,Ian Kim,—,—
467,Webdox,"Cloud Data Services, Collaboration, Contact Management, Enterprise Software, Information Technology, Natural Language Processing, Procurement, SaaS, Software","Santiago, Region Metropolitana, Chile",Webdox is a SaaS CLM focused on large and medium companies in LATAM and the US.,"32,172","76,047",Active,—,www.webdoxclm.com/,—,View on LinkedIn,José Manuel Jimenez Marín,—,—
468,C-Capture,"Chemical, Industrial, Oil and Gas","Leeds, Leeds, United Kingdom","C-Capture develops a solvent-based technology that offers a safe, low-cost way to remove carbon dioxide from emissions.","32,279","1,313",Active,—,www.c-capture.co.uk,View on Twitter,View on LinkedIn,Chris Rayner,—,—
469,Recludix Pharma,"Biotechnology, Health Care","San Diego, California, United States",Recludix pharma is a developing platform to treat cancer patients.,"32,479",—,Active,—,recludixpharma.com,—,View on LinkedIn,"Brian Hodous, Patrick Zarrinkar",—,—
470,Vodori,"Biotechnology, Consulting, Life Science","Chicago, Illinois, United States","Vodori provides solutions that simplify how life science companies create, approve, and distribute promotional content.","32,517","3,805",Active,—,www.vodori.com,View on Twitter,View on LinkedIn,"Grant Gochnauer, Nathan Kurtyka, Scott Rovegno, Stacy Wolters",—,—
471,PublicInput,"Government, GovTech, SaaS, Software","Raleigh, North Carolina, United States",PublicInput is a community engagement software for government.,"32,562","85,677",Active,—,publicinput.com,View on Twitter,View on LinkedIn,"Graham Stone, Jay Dawkins",—,—
472,Uniper-care Technologies,"Information Technology, Software","Tel Aviv, Tel Aviv, Israel",Uniper-care Technologies uses the familiarity of the TV to allow older adults to socialize in a simple and intuitive way.,"32,569",—,Active,—,www.unipercare.com/,—,View on LinkedIn,"Avi Price, Rami Kirshblum",—,—
473,CybeReady,"Cyber Security, Machine Learning","Tel Aviv, Tel Aviv, Israel","CybeReady offers the world’s fastest security training platform, that evolves your organization from security awareness to cyber readiness.","32,601","6,220",Active,—,www.cybeready.com,View on Twitter,View on LinkedIn,"Mike Polatsek, Omer Taran",—,—
474,"NarrativeWave, Inc.","Analytics, Artificial Intelligence, Big Data, Business Intelligence, Data Visualization, Enterprise Software, Internet, Internet of Things, Knowledge Management, Predictive Analytics, SaaS, Software, Text Analytics","Scottsdale, Arizona, United States",NarrativeWave enables self service analytics for the Industrial Internet of Things (IIoT).,"32,958",—,Active,—,www.narrativewave.com,—,View on LinkedIn,—,—,—
475,Sprocket,"Customer Service, Digital Marketing, Service Industry","Setagaya, Tokyo, Japan",Sprocket is a web-based customer development platform that delivers the latest digital marketing information.,"33,031","209,729",Active,—,www.sprocket.bz,View on Twitter,—,"Koji Fukada, Minoru Nakata",—,—
476,Achates Power,"Electric Vehicle, Energy, Manufacturing, Transportation","San Diego, California, United States","Achates Power specializes in the fields of combustion engine development, clean diesel, and 2-stroke oil control management.","33,058",174,Active,—,achatespower.com,View on Twitter,View on LinkedIn,James Lemke,—,—
477,Ankyra,Biotechnology,"Boston, Massachusetts, United States",Ankyra is a biotech company developing anchored immunotherapy for cancer treatments.,"33,119",—,Active,—,ankyratx.com/,—,View on LinkedIn,"Darrell Irvine, K. Dane Wittrup",—,—
478,ReadySet Surgical,"Cloud Data Services, Health Care, Hospital, Logistics, Medical Device, Supply Chain Management","Milford, Ohio, United States",ReadySet Surgical is a surgical coordination platform that simplifies the surgical vendor supply chain.,"33,251","9,244",Active,—,readysetsurgical.com,View on Twitter,View on LinkedIn,Keerthi V. Kanubaddi,—,—
479,Novadiscovery,"Artificial Intelligence, Biotechnology, CRM, Health Care, Information Technology, Medical","Lyon, Rhone-Alpes, France",Health tech company using clinical trial simulation technology to predict drug efficacy and optimize clinical trial development.,"33,262",249,Active,—,www.novadiscovery.com,View on Twitter,View on LinkedIn,François-Henri Boissel,—,—
480,Roojoom,"Advertising, Email Marketing, Enterprise Software, Marketing, Marketing Automation, Personalization, SaaS, Software","Boston, Massachusetts, United States","Roojoom enables brands to gain control over each customer’s personal journey using algorithms-built unique CX, boosting KPIs","33,485","1,608",Active,—,www.roojoom.com,View on Twitter,View on LinkedIn,"Or Meirov, Rami Ricanati, Yuval Shemesh",—,—
481,Vivino,"Apps, Communities, E-Commerce, Marketplace, Mobile Apps, Wine And Spirits","San Francisco, California, United States","Vivino is a wine app, and the largest online wine marketplace + community providing tools to help people buy the right wine.","33,499","7,327,632",Active,—,www.vivino.com,View on Twitter,View on LinkedIn,"Heini Zachariassen, Theis Sondergaard",—,—
482,Splice Machine,"Analytics, Big Data, Information Technology, Software","San Francisco, California, United States","Splice Machine is a data platform that offers offline, and batch analysis, and powers intelligent applications for operational workflows.","33,578",—,Active,—,www.splicemachine.com,View on Twitter,View on LinkedIn,"Eugene Davis, John Leach, Monte Zweben",—,—
483,Spur,"FinTech, Human Resources, SaaS","Huntsville, Alabama, United States",Spur provides the lowest cost Human Capital Management platform for employers of hourly workforces.,"33,669",—,Active,—,spurstaffing.com,View on Twitter,View on LinkedIn,Glenn Clayton,—,—
484,Earth Science Analytics,"Analytics, Artificial Intelligence, Energy, Machine Learning, Software","Stavanger, Rogaland, Norway",Earth Science Analytics is an Artificial Intelligence petroleum geoscience software provider,"33,756","1,784",Active,—,earthanalytics.ai/,View on Twitter,View on LinkedIn,"Behzad Alaei, Dimitrios Oikonomou, Eirik Larsen",—,—
485,Farcast,"Biotechnology, Health Care, Health Diagnostics, Medical, Pharmaceutical","Boston, Massachusetts, United States",Farcast develops a diagnostic platform that delivers powerful predictions for personalized cancer treatment selection and drug development.,"33,997",—,Active,—,www.farcastbio.com/,View on Twitter,View on LinkedIn,"Mallik Sundaram, Pradip Majumder",—,—
486,Patients Know Best,"Health Care, Information Technology, Software","Cambridge, Cambridgeshire, United Kingdom",Patients Know Best provide hospitals with personal health records software so that their patients can better manage their health.,"34,257","1,032,587",Active,—,www.patientsknowbest.com,View on Twitter,View on LinkedIn,Mohammad Al-Ubaydli,—,—
487,Commonplace,"Internet, Software","London, England, United Kingdom",Commonplace has making is easier for communities to influence local planning decisions.,"34,286","63,892",Active,—,www.commonplace.is/,View on Twitter,View on LinkedIn,"Andy Pols, Mike Saunders",—,—
488,Aqumon,"Finance, Financial Services","Quarry Bay, Hong Kong Island, Hong Kong","Aqumon is a algorithm-driven, technology-based investment platform.","34,373",462,Active,—,www.aqumon.com,—,View on LinkedIn,"Don Huang, Kelvin Lei",—,—
489,The RealReal,"E-Commerce, Fashion, Lifestyle, Marketplace","San Francisco, California, United States",The RealReal is an online marketplace for authenticated and consigned luxury goods.,"34,514","5,762,509",Active,—,www.therealreal.com,View on Twitter,View on LinkedIn,Julie Wainwright,—,—
490,BioFluidica,"Biotechnology, Health Care, Health Diagnostics","San Diego, California, United States",BioFluidica is a biotechnology company that has developed a diagnostic platform.,"34,927",—,Active,—,www.biofluidica.com/,View on Twitter,View on LinkedIn,Steven A. Soper,—,—
491,CRX Markets AG,"Finance, Financial Services, FinTech, Marketplace","Munich, Bayern, Germany",CRX Markets is Europe’s leading marketplace for working capital financing.,"35,187","1,842",Active,—,www.crxmarkets.com/,View on Twitter,View on LinkedIn,"Carlo Kölzer, Moritz von der Linden",—,—
492,Found,"Fitness, Health Care, Health Diagnostics","San Francisco, California, United States",Found is dedicated to improving people’s overall wellbeing by making evidence-based weight loss accessible and affordable.,"35,368","767,614",Active,—,joinfound.com/,—,View on LinkedIn,"Emily Yudofsky, Swathy Prithivi",—,—
493,Centerity Systems,"Analytics, Cloud Computing, Information Technology, Internet of Things, Software","Newton, Massachusetts, United States","Centerity Systems is the pioneer vendor of a next-gen, IT performance analytics and business service management.","35,576","153,299",Active,—,www.centerity.com,View on Twitter,View on LinkedIn,"Moshe Sharon, Roi Keren",—,—
494,CircuitHub,"Artificial Intelligence, Electronics, Machine Learning, Manufacturing, Robotics","South Deerfield, Massachusetts, United States",Deep learning and robotics to automate circuit board manufacturing.,"35,609","5,077",Active,—,circuithub.com,View on Twitter,View on LinkedIn,"Andrew Seddon, Jon Friedman, Rehno Lindeque",—,—
495,otto-js,"Cloud Data Services, Compliance, Cyber Security, Enterprise Software, Fraud Detection, Information Technology, IT Management, Privacy, Risk Management","Memphis, Tennessee, United States",Script Integrity: Automated Script Compliance and Security software. Bringing visibility and control to third-party risk.,"35,626",—,Active,—,www.otto-js.com,View on Twitter,View on LinkedIn,"Casey Hester, Josh Summitt, Maggie Louie",—,—
496,Funds,"Financial Services, Funding Platform","Akashicho, Tokyo, Japan",Funds is an online marketplace for lending funds.,"35,833","189,999",Active,—,funds.jp/,View on Twitter,—,Yo Shibata,—,—
497,Cumulus Neuroscience,Health Care,"Belfast, Belfast, United Kingdom",Cumulus Neuroscience has created a next-generation integrated physiological and digital biomarker platform.,"36,121","1,709",Active,—,www.cumulusneuro.com,View on Twitter,View on LinkedIn,"Brian Murphy, Ronan Cunningham, Ruth McKernan",—,—
498,Metomotion,"Agriculture, AgTech, Information Technology","Misgav, HaZafon, Israel",MetoMotion is developing a multipurpose robotic system for labor-intensive tasks in greenhouses.,"36,744",—,Active,—,metomotion.com/,—,View on LinkedIn,Omer Nir,—,—
499,AccountsIQ,"Accounting, Finance, Financial Services, SaaS, Small and Medium Businesses, Software","Blackrock, Dublin, Ireland",AccountsIQ is a provider of a financial management software platform for mid-market SMEs with multiple subsidiaries and branches.,"36,929","71,493",Active,—,www.accountsiq.com/,View on Twitter,View on LinkedIn,"Gavin McGahey, Tony Connolly",—,—
500,H2O Hospitality,"Hospitality, Leisure","Seoul, Seoul-t'ukpyolsi, South Korea",H2O Hospitality is a hospitality technology company that offers hotel digital management solutions and services.,"37,172","2,957",Active,—,h2ohospitality.io,—,View on LinkedIn,—,Made Acquisitions,—
501,Captario,"Biotechnology, Health Care, Pharmaceutical, SaaS, Software","Gothenburg, Vastra Gotaland, Sweden",An innovative decision-making SaaS platform and professional services company that helps pharma companies make better strategic decisions.,"37,241",532,Active,—,www.captario.com,—,View on LinkedIn,"Fredrik Celin, Mikael Palmblad",—,—
502,Play2Pay™,"E-Commerce, FinTech, Gaming, Mobile","Miami, Florida, United States",We convert user engagement into payment.,"37,293","78,770",Active,—,www.play2pay.com,—,View on LinkedIn,Brian Boroff,Made Acquisitions,—
503,"Flowhaven, Licensing Suite","SaaS, Software","Helsinki, Southern Finland, Finland",Flowhaven is a brand licensing management platform enabling professionals to automate every phase of the brand licensing workflow process.,"37,638","5,222",Active,—,www.flowhaven.com/,View on Twitter,View on LinkedIn,"Jess Trinca, Kalle Torma, M L, Timo Olkkola",—,—
504,Silot,"Artificial Intelligence, Banking, Financial Services, FinTech, Information Services, Information Technology, Machine Learning","Singapore, Central Region, Singapore",Silot is a Singapore-based Fintech startup that empowers banks with a fast and scalable AI platform.,"37,863",—,Active,—,www.silot.ai,—,View on LinkedIn,"Andy Li, Bryan Sun, Villence Kang-Ran Yu, Zihao Dennis Song",—,—
505,Vertical Companies,"Agriculture, Cannabis, Consumer Goods","Agoura Hills, California, United States",Vertical Companies introduces an entirely new perspective on the global cannabis market.,"37,709",—,Active,—,vertcos.com/,View on Twitter,View on LinkedIn,Todd Kaplan,—,—
506,ForwardLane,"Artificial Intelligence, Asset Management, Finance, Financial Services, FinTech, Machine Learning, Natural Language Processing, PaaS, Wealth Management","New York, New York, United States",ForwardLane is the essential insights platform used by financial professionals for personalized conversations,"37,762","87,464",Active,—,www.forwardlane.com,View on Twitter,View on LinkedIn,Nathan Stevenson,—,—
507,Disco,"Beauty, Brand Marketing, E-Commerce, Pharmaceutical","Austin, Texas, United States","Disco is a men's skincare brand based in Austin, TX.","37,929","149,460",Active,—,letsdisco.com,View on Twitter,View on LinkedIn,Benjamin Smith,—,—
508,AdaptX,"Analytics, Artificial Intelligence, Health Care, Hospital, Medical","Seattle, Washington, United States",AdaptX is a clinical management platform that delivers analytics and AI to hospitals and surgery centers.,"38,203",749,Active,—,www.adaptx.com,View on Twitter,View on LinkedIn,"Dan Low, Matthew Goos",—,—
509,Brain Corp,"Artificial Intelligence, Autonomous Vehicles, Machine Learning, Marketing Automation, Robotics, Software","San Diego, California, United States",Brain Corp develops core technology for the robotics industry.,"38,222","81,305",Active,—,www.braincorp.com/,View on Twitter,View on LinkedIn,"Allen Gruber, Eugene Izhikevich",—,—
510,Spero Foods,"Food and Beverage, Food Processing, Marketing, Organic, Organic Food","Los Angeles, California, United States","Spero Foods specializes in the fields of big data, food tech, plant-based products, and predictive modeling.","38,386","8,846",Active,—,www.sperofoods.co/,—,View on LinkedIn,Phaedra Randolph,—,—
511,Saphetor,"Biotechnology, Electronic Health Record (EHR), Health Care, Medical","Lausanne, Vaud, Switzerland",Saphetor is a personalised medicine company.,"38,458",659,Active,—,saphetor.com,View on Twitter,View on LinkedIn,Andreas Massouras,—,—
512,Enspectra Health,"Health Care, Medical","Menlo Park, California, United States",Enspectra Health is a digital transformation in pathology by imaging cellular anatomy.,"38,935",—,Active,—,www.enspectrahealth.com/,—,—,"Gabriel Sanchez, Mark Schnitzer",—,—
513,Tailify,"Advertising, Social Media","London, England, United Kingdom","Influencer Marketing, Powered by Science.","39,195",334,Active,—,www.tailify.com,View on Twitter,View on LinkedIn,"Didrik Svendsen, Fredrik Andersson, Fredrik Gernandt Segerby",—,—
514,Vay,"Autonomous Vehicles, Information Technology, Software","Berlin, Berlin, Germany",Vay is a deep technology startup that creates a new path for mobility.,"39,612","1,870",Active,—,vay.io,View on Twitter,View on LinkedIn,"Bogdan Djukic, Fabrizio Ugo Scelsi, Thomas von der Ohe",—,—
515,Semalytix,"Analytics, Artificial Intelligence, Big Data, Business Intelligence, Machine Learning, Predictive Analytics","Bielefeld, Nordrhein-Westfalen, Germany",Semalytix focusses on Dark Data Understanding. Turning unstructured into structured data.,"39,687",186,Active,—,www.semalytix.com,View on Twitter,View on LinkedIn,"Janik Jaskolski, Matthias Hartung, Philipp Cimiano, Roman Klinger",—,—
516,Hydra Energy,Energy,"Delta, British Columbia, Canada",Hydra Energy is accelerating the shift to clean combustion in transportation offering hydrogen cheaper than diesel with no up front costs.,"39,688",—,Active,—,hydraenergy.com,View on Twitter,View on LinkedIn,Simon Pickup,—,—
517,Mosaic ML,—,"San Francisco, California, United States",MosaicML builds efficient infrastructure for training large language models,"39,749","283,685",Active,—,www.mosaicml.com,View on Twitter,View on LinkedIn,Naveen Rao,—,—
518,PatientPay Inc.,"Health Care, Payments, Software","Durham, North Carolina, United States",PatientPay is an online payment platform.,"39,783",—,Active,—,www.patientpay.com,View on Twitter,View on LinkedIn,Thomas Furr,—,—
519,Metaoptima,"Health Care, Health Diagnostics, Information Services, Information Technology, Medical Device, Mobile","Vancouver, British Columbia, Canada",Metaoptima delivers digital healthcare solutions. It was started by a team of Simon Fraser University and University of British Columbia,"39,784",383,Active,—,www.metaoptima.com,View on Twitter,View on LinkedIn,"Majid Razmara, Maryam Sadeghi",—,—
520,Medimaps Group,"Architecture, Biotechnology, Clinical Trials, Health Care, Medical","Plan-les-ouates, Geneve, Switzerland",Medimaps Group is an innovative Swiss based company that is developing seamless solutions for clinical routine.,"39,926","4,831",Active,—,www.medimapsgroup.com,View on Twitter,View on LinkedIn,Didier Hans,—,—
521,Tilak Healthcare,"Gaming, Health Care, Medical, Medical Device","Paris, Ile-de-France, France",Tilak build a series of fun medical games to change the way we monitor chronic diseases.,"40,220",—,Active,—,www.tilakhealthcare.com/,View on Twitter,View on LinkedIn,"Edouard Gasser, Jean-Francois Girmens",—,—
522,LightGuide,"Augmented Reality, Industrial Automation, Manufacturing, Software","Wixom, Michigan, United States","LightGuide Inc., uses proprietary software and high-powered projector systems to automate various industrial tasks","40,392",516,Active,—,lightguidesys.com/,View on Twitter,View on LinkedIn,Paul Ryznar,—,—
523,EyeControl,"Artificial Intelligence, Assistive Technology, Health Care, Hospital, Medical, Medical Device","Tel Aviv, Tel Aviv, Israel","Eye-tracking wearable & smart platforms empowering connectivity between patients with communication difficulties, families and medical teams","40,471","3,182",Active,—,www.eyecontrol.co.il/,View on Twitter,View on LinkedIn,"Itai Kornberg, Or Retzkin, Shay Rishoni",—,—
524,Linear,"Computer, Developer Platform, Developer Tools, Software","San Francisco, California, United States",Linear allows users to manage software development and track bugs.,"40,722","525,514",Active,—,linear.app/,—,View on LinkedIn,"Karri Saarinen, Tuomas Artman",—,—
525,MyCloudFulfillment,"E-Commerce, Logistics, Supply Chain Management","Lat Krabang, Krung Thep, Thailand",MyCloudFulfillment is a supply chain management solution for e-commerce and omnichannel businesses.,"40,863","175,806",Active,—,www.mycloudfulfillment.com/,—,View on LinkedIn,"Nithi (Mek) Satchatippavarn, Trit Tantasathien",—,—
526,Forma,"Employee Benefits, Enterprise Software, Health Care, Wellness","Fremont, California, United States",Forma is a modern-day benefits platform that gives employees the freedom to choose health and wellness options that are right for them.,"41,232","173,796",Active,—,joinforma.com,View on Twitter,View on LinkedIn,"Jason Fan, Max Hsieh",—,—
527,BountyJobs,"Human Resources, Recruiting, Software","Austin, Texas, United States",BountyJobs is a software technology for employer and recruitment agency collaboration.,"41,493","36,915",Active,—,www.bountyjobs.com,View on Twitter,View on LinkedIn,"Jeremy Lappin, Mark Hohmann, Ron Elitzur",—,—
528,Qnami,"Biotechnology, Health Care, Information Technology, Sensor","Muttenz, Basel-Landschaft, Switzerland",Qnami develops quantum sensing technologies designed for nanoscale imaging.,"41,571","2,170",Active,—,qnami.ch,View on Twitter,View on LinkedIn,"Mathieu Munsch, Patrick Maletinsky",—,—
529,LendingFront,"Banking, Credit, Enterprise Software, FinTech, Lending, SaaS, Small and Medium Businesses, Software","New York, New York, United States",Small business lending software platform for banks and other financial institutions,"41,732","5,586",Active,—,www.lendingfront.com/,View on Twitter,View on LinkedIn,"Dario Vergara, Jorge Sun",—,—
530,Direct Commerce,"Internet, Payments","San Francisco, California, United States",Direct Commerce is a paperless source-to-pay platform that delivers SaaS automation for B2B companies.,"41,977","33,405",Active,—,www.directcommerce.com,—,—,Bruce Hanavan,—,—
531,Dolead,"Advertising, Lead Generation, Search Engine, Software","Paris, Ile-de-France, France",Dolead works alongside your existing marketing & sales team to generate high quality leads at a fixed cost per lead.,"42,235","3,000",Active,—,www.dolead.com/,View on Twitter,View on LinkedIn,"Arthur Saint-Père, Guillaume Heintz",—,—
532,SuperBrewed Food,"Biotechnology, Life Science, Pharmaceutical","New Castle, Delaware, United States",SuperBrewed Food(formerlyWhite Dog Labs) is developing new probiotics for animals and human.,"42,375",741,Active,—,www.superbrewedfood.com,View on Twitter,View on LinkedIn,"Bryan Tracy, Talli Somekh",—,—
533,OGOship,"Automotive, E-Commerce, E-Commerce Platforms, Logistics, Retail, Software, Transportation","Vantaa, Southern Finland, Finland",OGOship offers an logistics platform solutions for growing online stores. Focusing on sustainable logistics and hassle-free e-com growth.,"42,462","4,607",Active,—,www.ogoship.com,View on Twitter,View on LinkedIn,"Pekka Ylenius, Timo Toivonen",—,—
